OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;Gift/separeret;2020K1;2146017
Hele landet;I alt;Ugift;2020K1;2844060
Hele landet;0 år;Gift/separeret;2020K1;0
Hele landet;0 år;Ugift;2020K1;61466
Hele landet;1 år;Gift/separeret;2020K1;0
Hele landet;1 år;Ugift;2020K1;61916
Hele landet;2 år;Gift/separeret;2020K1;0
Hele landet;2 år;Ugift;2020K1;62148
Hele landet;3 år;Gift/separeret;2020K1;0
Hele landet;3 år;Ugift;2020K1;62697
Hele landet;4 år;Gift/separeret;2020K1;0
Hele landet;4 år;Ugift;2020K1;59661
Hele landet;5 år;Gift/separeret;2020K1;0
Hele landet;5 år;Ugift;2020K1;58993
Hele landet;6 år;Gift/separeret;2020K1;0
Hele landet;6 år;Ugift;2020K1;58415
Hele landet;7 år;Gift/separeret;2020K1;0
Hele landet;7 år;Ugift;2020K1;60745
Hele landet;8 år;Gift/separeret;2020K1;0
Hele landet;8 år;Ugift;2020K1;61926
Hele landet;9 år;Gift/separeret;2020K1;0
Hele landet;9 år;Ugift;2020K1;66522
Hele landet;10 år;Gift/separeret;2020K1;0
Hele landet;10 år;Ugift;2020K1;66254
Hele landet;11 år;Gift/separeret;2020K1;0
Hele landet;11 år;Ugift;2020K1;68649
Hele landet;12 år;Gift/separeret;2020K1;0
Hele landet;12 år;Ugift;2020K1;67673
Hele landet;13 år;Gift/separeret;2020K1;0
Hele landet;13 år;Ugift;2020K1;68523
Hele landet;14 år;Gift/separeret;2020K1;0
Hele landet;14 år;Ugift;2020K1;67530
Hele landet;15 år;Gift/separeret;2020K1;0
Hele landet;15 år;Ugift;2020K1;67768
Hele landet;16 år;Gift/separeret;2020K1;0
Hele landet;16 år;Ugift;2020K1;67948
Hele landet;17 år;Gift/separeret;2020K1;0
Hele landet;17 år;Ugift;2020K1;67304
Hele landet;18 år;Gift/separeret;2020K1;22
Hele landet;18 år;Ugift;2020K1;68617
Hele landet;19 år;Gift/separeret;2020K1;115
Hele landet;19 år;Ugift;2020K1;71504
Hele landet;20 år;Gift/separeret;2020K1;281
Hele landet;20 år;Ugift;2020K1;71833
Hele landet;21 år;Gift/separeret;2020K1;664
Hele landet;21 år;Ugift;2020K1;73207
Hele landet;22 år;Gift/separeret;2020K1;1258
Hele landet;22 år;Ugift;2020K1;75122
Hele landet;23 år;Gift/separeret;2020K1;2114
Hele landet;23 år;Ugift;2020K1;75745
Hele landet;24 år;Gift/separeret;2020K1;3646
Hele landet;24 år;Ugift;2020K1;77467
Hele landet;25 år;Gift/separeret;2020K1;5721
Hele landet;25 år;Ugift;2020K1;76345
Hele landet;26 år;Gift/separeret;2020K1;8353
Hele landet;26 år;Ugift;2020K1;71228
Hele landet;27 år;Gift/separeret;2020K1;11834
Hele landet;27 år;Ugift;2020K1;68537
Hele landet;28 år;Gift/separeret;2020K1;14949
Hele landet;28 år;Ugift;2020K1;62475
Hele landet;29 år;Gift/separeret;2020K1;18836
Hele landet;29 år;Ugift;2020K1;58328
Hele landet;30 år;Gift/separeret;2020K1;22174
Hele landet;30 år;Ugift;2020K1;52300
Hele landet;31 år;Gift/separeret;2020K1;25138
Hele landet;31 år;Ugift;2020K1;46450
Hele landet;32 år;Gift/separeret;2020K1;27131
Hele landet;32 år;Ugift;2020K1;40898
Hele landet;33 år;Gift/separeret;2020K1;28994
Hele landet;33 år;Ugift;2020K1;37539
Hele landet;34 år;Gift/separeret;2020K1;30281
Hele landet;34 år;Ugift;2020K1;34180
Hele landet;35 år;Gift/separeret;2020K1;30981
Hele landet;35 år;Ugift;2020K1;30423
Hele landet;36 år;Gift/separeret;2020K1;31663
Hele landet;36 år;Ugift;2020K1;27835
Hele landet;37 år;Gift/separeret;2020K1;33571
Hele landet;37 år;Ugift;2020K1;26510
Hele landet;38 år;Gift/separeret;2020K1;34543
Hele landet;38 år;Ugift;2020K1;24551
Hele landet;39 år;Gift/separeret;2020K1;37175
Hele landet;39 år;Ugift;2020K1;24424
Hele landet;40 år;Gift/separeret;2020K1;38605
Hele landet;40 år;Ugift;2020K1;23254
Hele landet;41 år;Gift/separeret;2020K1;39838
Hele landet;41 år;Ugift;2020K1;22456
Hele landet;42 år;Gift/separeret;2020K1;40059
Hele landet;42 år;Ugift;2020K1;21067
Hele landet;43 år;Gift/separeret;2020K1;41543
Hele landet;43 år;Ugift;2020K1;21017
Hele landet;44 år;Gift/separeret;2020K1;45030
Hele landet;44 år;Ugift;2020K1;21776
Hele landet;45 år;Gift/separeret;2020K1;44617
Hele landet;45 år;Ugift;2020K1;20381
Hele landet;46 år;Gift/separeret;2020K1;44018
Hele landet;46 år;Ugift;2020K1;19715
Hele landet;47 år;Gift/separeret;2020K1;46264
Hele landet;47 år;Ugift;2020K1;19645
Hele landet;48 år;Gift/separeret;2020K1;45846
Hele landet;48 år;Ugift;2020K1;18729
Hele landet;49 år;Gift/separeret;2020K1;43787
Hele landet;49 år;Ugift;2020K1;17145
Hele landet;50 år;Gift/separeret;2020K1;43754
Hele landet;50 år;Ugift;2020K1;16695
Hele landet;51 år;Gift/separeret;2020K1;45259
Hele landet;51 år;Ugift;2020K1;16658
Hele landet;52 år;Gift/separeret;2020K1;48008
Hele landet;52 år;Ugift;2020K1;17448
Hele landet;53 år;Gift/separeret;2020K1;51658
Hele landet;53 år;Ugift;2020K1;17965
Hele landet;54 år;Gift/separeret;2020K1;50227
Hele landet;54 år;Ugift;2020K1;16784
Hele landet;55 år;Gift/separeret;2020K1;49022
Hele landet;55 år;Ugift;2020K1;16170
Hele landet;56 år;Gift/separeret;2020K1;48175
Hele landet;56 år;Ugift;2020K1;15431
Hele landet;57 år;Gift/separeret;2020K1;45683
Hele landet;57 år;Ugift;2020K1;13820
Hele landet;58 år;Gift/separeret;2020K1;44732
Hele landet;58 år;Ugift;2020K1;13024
Hele landet;59 år;Gift/separeret;2020K1;44628
Hele landet;59 år;Ugift;2020K1;12441
Hele landet;60 år;Gift/separeret;2020K1;43270
Hele landet;60 år;Ugift;2020K1;11437
Hele landet;61 år;Gift/separeret;2020K1;43537
Hele landet;61 år;Ugift;2020K1;11026
Hele landet;62 år;Gift/separeret;2020K1;43164
Hele landet;62 år;Ugift;2020K1;10442
Hele landet;63 år;Gift/separeret;2020K1;43623
Hele landet;63 år;Ugift;2020K1;9790
Hele landet;64 år;Gift/separeret;2020K1;42642
Hele landet;64 år;Ugift;2020K1;9143
Hele landet;65 år;Gift/separeret;2020K1;41649
Hele landet;65 år;Ugift;2020K1;8271
Hele landet;66 år;Gift/separeret;2020K1;42260
Hele landet;66 år;Ugift;2020K1;7794
Hele landet;67 år;Gift/separeret;2020K1;41108
Hele landet;67 år;Ugift;2020K1;7008
Hele landet;68 år;Gift/separeret;2020K1;40152
Hele landet;68 år;Ugift;2020K1;6264
Hele landet;69 år;Gift/separeret;2020K1;40767
Hele landet;69 år;Ugift;2020K1;5745
Hele landet;70 år;Gift/separeret;2020K1;40217
Hele landet;70 år;Ugift;2020K1;5024
Hele landet;71 år;Gift/separeret;2020K1;41737
Hele landet;71 år;Ugift;2020K1;4703
Hele landet;72 år;Gift/separeret;2020K1;43342
Hele landet;72 år;Ugift;2020K1;4456
Hele landet;73 år;Gift/separeret;2020K1;43481
Hele landet;73 år;Ugift;2020K1;4106
Hele landet;74 år;Gift/separeret;2020K1;40477
Hele landet;74 år;Ugift;2020K1;3491
Hele landet;75 år;Gift/separeret;2020K1;36323
Hele landet;75 år;Ugift;2020K1;3078
Hele landet;76 år;Gift/separeret;2020K1;31631
Hele landet;76 år;Ugift;2020K1;2606
Hele landet;77 år;Gift/separeret;2020K1;28282
Hele landet;77 år;Ugift;2020K1;2139
Hele landet;78 år;Gift/separeret;2020K1;23509
Hele landet;78 år;Ugift;2020K1;1774
Hele landet;79 år;Gift/separeret;2020K1;21114
Hele landet;79 år;Ugift;2020K1;1614
Hele landet;80 år;Gift/separeret;2020K1;18436
Hele landet;80 år;Ugift;2020K1;1461
Hele landet;81 år;Gift/separeret;2020K1;16566
Hele landet;81 år;Ugift;2020K1;1350
Hele landet;82 år;Gift/separeret;2020K1;14135
Hele landet;82 år;Ugift;2020K1;1175
Hele landet;83 år;Gift/separeret;2020K1;11892
Hele landet;83 år;Ugift;2020K1;1022
Hele landet;84 år;Gift/separeret;2020K1;9559
Hele landet;84 år;Ugift;2020K1;919
Hele landet;85 år;Gift/separeret;2020K1;7791
Hele landet;85 år;Ugift;2020K1;771
Hele landet;86 år;Gift/separeret;2020K1;6301
Hele landet;86 år;Ugift;2020K1;693
Hele landet;87 år;Gift/separeret;2020K1;4885
Hele landet;87 år;Ugift;2020K1;602
Hele landet;88 år;Gift/separeret;2020K1;3897
Hele landet;88 år;Ugift;2020K1;545
Hele landet;89 år;Gift/separeret;2020K1;2934
Hele landet;89 år;Ugift;2020K1;490
Hele landet;90 år;Gift/separeret;2020K1;2198
Hele landet;90 år;Ugift;2020K1;391
Hele landet;91 år;Gift/separeret;2020K1;1689
Hele landet;91 år;Ugift;2020K1;340
Hele landet;92 år;Gift/separeret;2020K1;1174
Hele landet;92 år;Ugift;2020K1;268
Hele landet;93 år;Gift/separeret;2020K1;837
Hele landet;93 år;Ugift;2020K1;213
Hele landet;94 år;Gift/separeret;2020K1;527
Hele landet;94 år;Ugift;2020K1;187
Hele landet;95 år;Gift/separeret;2020K1;303
Hele landet;95 år;Ugift;2020K1;142
Hele landet;96 år;Gift/separeret;2020K1;171
Hele landet;96 år;Ugift;2020K1;90
Hele landet;97 år;Gift/separeret;2020K1;110
Hele landet;97 år;Ugift;2020K1;63
Hele landet;98 år;Gift/separeret;2020K1;51
Hele landet;98 år;Ugift;2020K1;66
Hele landet;99 år;Gift/separeret;2020K1;40
Hele landet;99 år;Ugift;2020K1;41
Hele landet;100 år;Gift/separeret;2020K1;18
Hele landet;100 år;Ugift;2020K1;12
Hele landet;101 år;Gift/separeret;2020K1;13
Hele landet;101 år;Ugift;2020K1;13
Hele landet;102 år;Gift/separeret;2020K1;4
Hele landet;102 år;Ugift;2020K1;8
Hele landet;103 år;Gift/separeret;2020K1;3
Hele landet;103 år;Ugift;2020K1;4
Hele landet;104 år;Gift/separeret;2020K1;0
Hele landet;104 år;Ugift;2020K1;3
Hele landet;105 år;Gift/separeret;2020K1;0
Hele landet;105 år;Ugift;2020K1;2
Hele landet;106 år;Gift/separeret;2020K1;1
Hele landet;106 år;Ugift;2020K1;0
Hele landet;107 år;Gift/separeret;2020K1;0
Hele landet;107 år;Ugift;2020K1;1
Hele landet;108 år;Gift/separeret;2020K1;0
Hele landet;108 år;Ugift;2020K1;0
